token,count
c'est,3049
on,750
franchement,580
j'adore,566
est,422
utile,369
faut,367
une,338
idée,338
à,332
aime,321
pas,284
mentionné,250
déteste,218
ce,192
nul,191
n'est,189
honnêtement,186
éviter,102
n'aime,95
discute,94
recommandé,87
du,8
uf,4
nan,4
qui,4
ur,3
a,3
dans,3
assez,3
que,3
uvre,3
homme,3
c,2
b,2
incertain,2
ses,2
pensées,2
parchemin,2
se,2
plus,2
l'avancement,2
emplir,2
enfler,2
naître,2
création,2
sans,2
pourvu,2
malgré,2
guise,2
d'iniquité,2
d'achoppement,2
défait,2
avide,2
d'un,2
gain,2
des,2
préfet,2
prétoire,2
petite,2
cents,2
perdition,2
ufs,1
lukuka,1
avare,1
as,1
elle,1
avons,1
avez,1
pour,1
eux,1
foulard,1
amas,1
estorquée,1
convient,1
util,1
uvres,1
eternel,1
s,1
olive,1
olivier,1
d'en,1
haut,1
couple,1
levain,1
ajusté,1
ensemble,1
énergie,1
d'erreur,1
propositions,1
pains,1
opinion,1
consentement,1
imposition,1
mains,1
anniversaire,1
chef-d',1
navire,1
dû,1
maîtresse,1
matrice,1
l',1
paroi,1
blanchie,1
extorquée,1
costume,1
plait,1
infiniment,1
réservoir,1
d'eau,1
conformité,1
souverain,1
petit,1
arc,1
en,1
recommandation,1
bourreau,1
persécution,1
nuptiale,1
brigand,1
larron,1
éternelle,1
blasphémateur,1
outrageux,1
inspiré,1
d'être,1
agent,1
végétale,1
grande,1
ça,1
là,1
siècle,1
lin,1
folle,1
